node	node_type
MeSH_Tree_Disease:MeSH_Tree_Disease:C23.550.513.355.750	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C05.116.198.709	MeSH_Tree_Disease
MeSH_Tree_Disease:C12.200.706.316.064	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C25	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C05.660.417	MeSH_Tree_Disease
MeSH_Tree_Disease:C01.748.561.750	MeSH_Tree_Disease
MeSH_Tree_Disease:C05.116.165.886	MeSH_Tree_Disease
MeSH_Disease:D012005	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C16.320.290.612	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C10.597.622.214	MeSH_Tree_Disease
MeSH_Tree_Disease:C16.320.565.202.810.666	MeSH_Tree_Disease
MeSH_Tree_Disease:C16.320.565.398.641.803.850	MeSH_Tree_Disease
MeSH_Tree_Disease:C18.452.648.202.810.666	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C10.228.140.116	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C01.207.198.750	MeSH_Tree_Disease
MeSH_Disease:D052537	MeSH_Tree_Disease
MeSH_Tree_Disease:C06.198.125	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C23.888.592.612.888	MeSH_Tree_Disease
MeSH_Tree_Disease:C01.920.930.163	MeSH_Tree_Disease
MeSH_Disease:D004893	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C10.574.500.497	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C10.668.829.800.750.300	MeSH_Tree_Disease
MeSH_Tree_Disease:C10.668.829.800.875	MeSH_Tree_Disease
MeSH_Disease:D000257	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C01.375.725.450	MeSH_Tree_Disease
MeSH_Tree_Disease:C10.228.228.180.850	MeSH_Tree_Disease
MeSH_Tree_Disease:C04.588.443.591.925	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C17.800.174.600.262	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C12.050.351.875.253.096.687	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C09.647.675.500	MeSH_Tree_Disease
MeSH_Tree_Disease:C11.294.354.450	MeSH_Tree_Disease
MeSH_Disease:D019318	MeSH_Tree_Disease
MeSH_Tree_Disease:C01.150.252.819.110	MeSH_Tree_Disease
MeSH_Tree_Disease:C16.320.565.202.607.500	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C06.301.761.500.249	MeSH_Tree_Disease
MeSH_Disease:D011030	MeSH_Tree_Disease
MeSH_Disease:D005171	MeSH_Tree_Disease
MeSH_Tree_Disease:C07.550.350.650.500	MeSH_Tree_Disease
MeSH_Tree_Disease:C11.187.183.200	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C26.915.300.400.825	MeSH_Tree_Disease
MeSH_Tree_Disease:C01.925.782.417.762	MeSH_Tree_Disease
MeSH_Disease:D002781	MeSH_Tree_Disease
MeSH_Tree_Disease:C04.588.614.250.195.411.211	MeSH_Tree_Disease
MeSH_Disease:D007177	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C15.378.100.141.310	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C23.550.291.187	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C10.228.140.079.862	MeSH_Tree_Disease
MeSH_Tree_Disease:C20.111.288	MeSH_Tree_Disease
MeSH_Tree_Disease:F03.657.900	MeSH_Tree_Disease
MeSH_Tree_Disease:C12.100.250.498	MeSH_Tree_Disease
MeSH_Tree_Disease:C14.907.137.126.339	MeSH_Tree_Disease
MeSH_Tree_Disease:C18.452.648.189.375	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C05.660.585	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C25.723.705.100	MeSH_Tree_Disease
MeSH_Tree_Disease:C18.452.584.563.641.803.730.750	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C07.465.614	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C10.228.140.490.360.272	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C20.111.258.625.700	MeSH_Tree_Disease
MeSH_Tree_Disease:F03.700.750.300	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C06.552.074	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C12.100.250.894.767	MeSH_Tree_Disease
MeSH_Disease:D017486	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C12.100.250.056.750.875	MeSH_Tree_Disease
MeSH_Tree_Disease:C01.925.782.310.340	MeSH_Tree_Disease
MeSH_Tree_Disease:C15.378.071.141.150.875.575	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C06.405.117.119.500	MeSH_Tree_Disease
MeSH_Tree_Disease:C26.819.678	MeSH_Tree_Disease
MeSH_Tree_Disease:C05.116.900.853.625.800.424	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C12.100.250.852.544	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C17.800.859.600	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C06.689.667.500	MeSH_Tree_Disease
